Privincia,Canton,Partido,plan_link,doble_check
San Jose,San Jose,Partido Republicano Social Cristiano,NO,NO
San Jose,San Jose,Partido Juntos San Jose,NO,NO
San Jose,Escazu,Partido Terra Escazu,NO,NO
San Jose,Escazu,Partido Nueva Generacion,NO,NO
San Jose,Escazu,Partido Yunta Progresista Escazucena,NO,NO
San Jose,Escazu,Partido Unidos por Escazu,NO,NO
San Jose,Desamparados,Partido Nueva Generacion,NO,NO
San Jose,Desamparados,Partido Nueva Republica,NO,NO
San Jose,Desamparados,Partido Republicano Social Cristiano,NO,NO
San Jose,Desamparados,Partido Frente Amplio,NO,NO
San Jose,Desamparados,Partido Unidad Social Cristiana,NO,NO
San Jose,Puriscal,Partido Republicano Social Cristiano,NO,NO
San Jose,Puriscal,Partido Puriscal en Marcha,NO,NO
San Jose,Tarrazu,Partido Unidos Podemos,NO,NO
San Jose,Tarrazu,Partido Unidad Social Cristiana,NO,NO
San Jose,Aserri,Partido Nueva Generacion,NO,NO
San Jose,Aserri,Partido Nueva Republica,NO,NO
San Jose,Aserri,Partido Republicano Social Cristiano,NO,NO
San Jose,Aserri,Partido Frente Amplio,NO,NO
San Jose,Aserri,Partido Unidad Social Cristiana,NO,NO
San Jose,Mora,Partido Unidad Social Cristiana,NO,NO
San Jose,Goicoechea,Partido Nueva Generacion,NO,NO
San Jose,Goicoechea,Partido Nueva Republica,NO,NO
San Jose,Goicoechea,Partido Republicano Social Cristiano,NO,NO
San Jose,Santa Ana,Partido Republicano Social Cristiano,NO,NO
San Jose,Santa Ana,Partido Frente Amplio,NO,NO
San Jose,Santa Ana,Partido Popular Cristiano,NO,NO
San Jose,Alajuelita,Partido Nueva Generacion,NO,NO
San Jose,Alajuelita,Partido Nueva Republica,NO,NO
San Jose,Alajuelita,Partido Republicano Social Cristiano,NO,NO
San Jose,Alajuelita,Partido Unidad Social Cristiana,NO,NO
San Jose,Vasquez de Coronado,Partido Nueva Republica,NO,NO
San Jose,Vasquez de Coronado,Partido Autentico Labrador de Coronado,NO,NO
San Jose,Tibas,Partido Unidos Podemos,NO,NO
San Jose,Tibas,Partido Nueva Generacion,NO,NO
San Jose,Tibas,Partido Republicano Social Cristiano,NO,NO
San Jose,Tibas,Partido Unidad Social Cristiana,NO,NO
San Jose,Moravia,Partido Justicia Social Costarricense,NO,NO
San Jose,Moravia,Partido Unidos Podemos,NO,NO
San Jose,Moravia,Partido Unidad Social Cristiana,NO,NO
San Jose,Montes de Oca,Partido Justicia Social Costarricense,NO,NO
San Jose,Montes de Oca,Partido Coalicion Gente Montes de Oca,SIIIIIII,SIIIIIII
San Jose,Turrubares,Partido Unidos Podemos,NO,NO
San Jose,Curridabat,Partido Unidos Podemos,NO,NO
San Jose,Curridabat,Partido Republicano Social Cristiano,NO,NO
San Jose,Curridabat,Partido Frente Amplio,NO,NO
San Jose,Curridabat,Partido Nueva Republica,NO,NO
San Jose,Leon Cortes Castro,Partido Liberal Progresista,NO,NO
San Jose,Leon Cortes Castro,Partido Frente Amplio,NO,NO
Cartago,Cartago,Partido Actuemos Ya,NO,NO
Cartago,Cartago,Partido Nueva Republica,NO,NO
Cartago,Cartago,Partido Unidad Social Cristiana,NO,NO
Cartago,Paraiso,Partido Actuemos Ya,NO,NO
Cartago,Paraiso,Partido Nueva Generacion,NO,NO
Cartago,Paraiso,Partido Nueva Republica,NO,NO
Cartago,Paraiso,Partido Republicano Social Cristiano,NO,NO
Cartago,Paraiso,Partido Frente Amplio,NO,NO
Cartago,La Union,Partido Republicano Social Cristiano,NO,NO
Cartago,Jimenez,Partido Actuemos Ya,NO,NO
Cartago,Jimenez,Partido Unidos Podemos,NO,NO
Cartago,Jimenez,Partido Nueva Generacion,NO,NO
Cartago,Jimenez,Partido Nueva Republica,NO,NO
Cartago,Jimenez,Partido Republicano Social Cristiano,NO,NO
Cartago,Turrialba,Partido Turrialba Primero,NO,NO
Cartago,Turrialba,Partido Actuemos Ya,NO,NO
Cartago,Turrialba,Partido Nueva Generacion,NO,NO
Cartago,Turrialba,Partido Nueva Republica,NO,NO
Cartago,Alvarado,Partido Actuemos Ya,NO,NO
Cartago,Alvarado,Partido Nueva Generacion,NO,NO
Cartago,Alvarado,Partido Unidad Social Cristiana,NO,NO
Cartago,Oreamuno,Partido Actuemos Ya,NO,NO
Cartago,Oreamuno,Partido Nueva Republica,NO,NO
Cartago,Oreamuno,Partido Unidad Social Cristiana,NO,NO
Cartago,El Guarco,Partido Actuemos Ya,NO,NO
Cartago,El Guarco,Partido Unidos Podemos,NO,NO
Heredia,Heredia,Partido Sentir Heredia,NO,NO
Heredia,Heredia,Partido Nueva Republica,NO,NO
Heredia,Heredia,Partido Republicano Social Cristiano,NO,NO
Heredia,Barva,Partido Justicia Social Costarricense,NO,NO
Heredia,Barva,Partido Nueva Republica,NO,NO
Heredia,Barva,Partido Republicano Social Cristiano,NO,NO
Heredia,Santo Domingo,Partido Nueva Republica,NO,NO
Heredia,Santa Barbara,Partido Nueva Generacion,NO,NO
Heredia,Santa Barbara,Partido Republicano Social Cristiano,NO,NO
Heredia,San Rafael,Partido Unidos Podemos,NO,NO
Heredia,San Rafael,Partido Nueva Generacion,NO,NO
Heredia,San Rafael,Partido Bienestar Rafaeleno,NO,NO
Heredia,San Rafael,Partido Unidad Social Cristiana,NO,NO
Heredia,San Isidro,Partido Avance Isidreno,NO,NO
Heredia,San Isidro,Partido Nueva Republica,NO,NO
Heredia,San Isidro,Partido Republicano Social Cristiano,NO,NO
Heredia,San Isidro,Partido Unidad Social Cristiana,NO,NO
Heredia,Belen,Partido Coalicion Union Belemita,NO,NO
Heredia,Belen,Partido Nueva Generacion,NO,NO
Heredia,Belen,Partido Nueva Republica,NO,NO
Heredia,Flores,Partido Nueva Generacion,NO,NO
Heredia,Flores,Partido Unidad Social Cristiana,NO,NO
Heredia,San Pablo,Partido Nueva Republica,NO,NO
Heredia,San Pablo,Partido Frente Amplio,NO,NO
Heredia,San Pablo,Partido Unidad Social Cristiana,NO,NO
Heredia,Sarapiqui,Partido Autentico Sarapiqueno,NO,NO
Heredia,Sarapiqui,Partido Nueva Generacion,NO,NO
Heredia,Sarapiqui,Partido Nueva Republica,NO,NO
Heredia,Sarapiqui,Partido Nuestro Pueblo,NO,NO
Heredia,Sarapiqui,Partido Unidad Social Cristiana,NO,NO
Heredia,Sarapiqui,Partido Accion Ciudadana,NO,NO
Alajuela,Alajuela,Partido Renovemos Alajuela,NO,NO
Alajuela,Alajuela,Partido Nueva Generacion,NO,NO
Alajuela,Alajuela,Partido Republicano Social Cristiano,NO,NO
Alajuela,San Ramon,Partido Unidos Podemos,NO,NO
Alajuela,San Ramon,Partido Nueva Republica,NO,NO
Alajuela,San Ramon,Partido Unidad Social Cristiana,NO,NO
Alajuela,Grecia,Partido Union Griega,NO,NO
Alajuela,Grecia,Partido Nueva Generacion,NO,NO
Alajuela,Grecia,Partido Nueva Republica,NO,NO
Alajuela,San Mateo,Partido Progreso Social Democratico,NO,NO
Alajuela,San Mateo,Partido Republicano Social Cristiano,NO,NO
Alajuela,San Mateo,Partido Unidad Social Cristiana,NO,NO
Alajuela,Atenas,Partido Justicia Social Costarricense,NO,NO
Alajuela,Atenas,Partido Unidos Podemos,NO,NO
Alajuela,Atenas,Partido Nueva Republica,NO,NO
Alajuela,Atenas,Partido Republicano Social Cristiano,NO,NO
Alajuela,Naranjo,Partido Nueva Generacion,NO,NO
Alajuela,Naranjo,Partido Unidad Social Cristiana,NO,NO
Alajuela,Palmares,Partido Republicano Social Cristiano,NO,NO
Alajuela,Palmares,Partido Frente Amplio,NO,NO
